# x x_err y y_err
5.317399229190391097e+00 8.678779959979959768e-01 -1.741379801314722897e+01 7.520379058210221457e-01
5.339513261837871561e+00 1.916172186109530717e-01 -1.573126256545710611e+01 3.797411983627097865e+00
5.444831236903180383e+00 5.122345158602501503e-01 -1.425623743054457293e+01 2.251506794787766275e+00
5.627677840439931245e+00 5.840795996228325127e-01 -9.128414245450203524e+00 4.157685945928839999e+00
5.766562078604882124e+00 9.254639661156247588e-01 -5.256147818992508824e+00 3.427926181567146013e+00
5.871875155333672325e+00 9.618328603916485031e-01 -1.195752974929657597e+01 5.526435022229549077e+00
6.030241782957530106e+00 1.024039335869968148e-02 1.538211296108143422e+01 1.932657036186149702e+00
6.079001961252243902e+00 9.159366056799386757e-02 1.882675502954021240e+01 1.331243667778459150e+00
6.119132483013050461e+00 8.307221461211010682e-01 2.425489485988639871e+01 2.369827896543480694e+00
6.247332827640821762e+00 4.535228410217440054e-01 4.098285600675303186e+01 1.443365277732062912e+00
6.516507162763039318e+00 3.473635094779131682e-01 3.322254160024776581e+01 4.777735627325745860e+00
6.597224246655706281e+00 4.216633973445221839e-01 3.950384274797371376e+01 9.057030421075618065e+00
6.631379946851043705e+00 9.730256142979479272e-02 4.432705678834029328e+01 1.578036840593231016e+00
6.937396090696741346e+00 9.743906663996436401e-02 9.870227497792193105e+00 9.854059975619989586e+00
7.090519362597367703e+00 1.827855073774371786e-02 8.433250691541553934e+00 7.375304151136025332e+00
7.236252211067808915e+00 2.687872743994668134e-01 -1.161374493557104159e+01 6.919311149069546474e+00
7.409194120697377706e+00 8.037409306568583656e-01 -2.031581090007446022e+01 4.575924909858429146e+00
7.415960484651624718e+00 1.452924534508727716e-01 -2.764967777579046881e+01 3.497401166423951935e+00
7.620424521929649586e+00 4.219693966384289174e-01 -2.033890115316997438e+01 7.412517280204484749e+00
7.749567580603489603e+00 9.250860505155112934e-01 -1.109369681939038443e+01 1.472264418920825690e+01
8.127737228801411362e+00 7.564079903494103085e-02 2.803842431148713388e+01 2.617477539663172870e+00
8.170572874492723514e+00 3.216151351464355823e-01 3.303105626423558761e+01 1.220207506123701258e+01
8.316148043412193047e+00 5.094065302118140348e-01 4.718731493823325707e+01 2.274421357318237025e+00
8.641860795502074311e+00 3.390761834643754025e-01 4.567200341840121780e+01 2.697861430247447512e+00
8.734347784647248147e+00 6.706172035040602886e-02 4.262348812536860265e+01 2.425401047501531515e+00
8.743038377446614717e+00 5.579512711780065803e-01 4.181729789637820005e+01 7.704791764972214629e+00
8.777568795041046812e+00 5.631963588697820322e-01 4.114959841767651483e+01 1.386616813488177113e+00
8.778229206100933268e+00 1.153157462972087266e-01 4.416409406384842384e+01 5.973873650786925005e-01
8.868283976546623038e+00 1.420847166667892347e-01 2.353655017947820838e+01 3.305032591052425861e-01
8.923125511480613170e+00 6.383654718098041858e-02 2.104556081574805049e+01 4.054030608450402973e+00
8.987230042875772540e+00 6.013789126523020334e-01 2.020954283469095714e+01 1.823226131180262000e+00
9.007718757911343133e+00 3.690577185019630058e-01 6.190016327733389723e+00 3.441630090539984810e+00
9.115525796672221404e+00 7.686990537213718166e-01 -9.292200044130606074e+00 3.341861411153796979e+00
9.178315510766799079e+00 2.274716037504977140e-02 -1.237301142432680301e+01 4.589077042052739586e+00
9.237544605027746769e+00 2.479713058353515132e-01 -1.613508733675352858e+01 8.244684738119957501e+00
9.334420074540684453e+00 1.192940844024975577e-02 -2.944153014058505136e+01 4.750747598257063053e+00
9.391116225516158877e+00 2.212483956356108006e-01 -2.659030527575760772e+01 4.338478278572798885e+00
9.421924122862650464e+00 1.882866792268555189e-01 -3.041560036645676846e+01 6.778921681601163485e+00
9.469788021139075695e+00 4.421940361166832867e-01 -3.192672561511502849e+01 8.567199334753013984e-01
9.514098524518674438e+00 1.452448908139370998e-01 -3.375325667011071573e+01 7.119106960332784340e+00
9.646068738858005531e+00 2.141141650694525778e-01 -2.060242739665089573e+01 2.112678559460919203e+00
9.733166616763206491e+00 1.358737018766960292e+00 -2.620862098704588661e+01 7.375227881353556114e+00
9.814139887090417957e+00 1.038422305640835042e+00 -2.606927064564884944e+01 7.574290840272609460e-01
9.879816384890379055e+00 3.266216752794099953e-01 8.097653982676078499e-01 1.391144116613476145e+00
1.002089550206727075e+01 4.369168077458804311e-02 1.199825729529169038e+01 7.923590108349521266e+00
1.041344804943075530e+01 6.317210009185015851e-01 6.169366189426806812e+01 1.708852387220856084e+00
1.107158801315991603e+01 1.953535069817432246e-01 5.202420819517528550e+00 4.605610479624791864e+00
1.109169574031669647e+01 2.578025017951702802e-01 -1.276721343093158900e+01 2.142821040141771771e+00
1.114064304682556639e+01 7.029268104441167564e-01 -1.907728434802293549e+01 2.361669753215693390e+00
1.118414321490827135e+01 2.645419188718042269e-01 -2.758222193539656075e+01 7.728795360902571687e+00
1.130472212962377654e+01 2.270732200338982654e-01 -3.918706765951881010e+01 3.287354513255607458e+00
1.137482391905787438e+01 9.736445148693274598e-01 -3.933460422963052849e+01 2.593856588088716109e+00
1.143456104752150715e+01 1.866703972754617247e-02 -4.234793446630773417e+01 5.839063303667817451e+00
1.158439137883791936e+01 4.312072059297815674e-01 -4.351680387263960625e+01 1.187130152450235876e+01
1.162122279400789893e+01 1.647197136830368669e-01 -5.000695821102074490e+01 3.832828875520843503e+00
1.168195937825471198e+01 3.384303890837940809e-01 -4.967395259403672014e+01 8.332340756170509621e+00
1.175289144355424042e+01 5.286872287372151175e-02 -2.990181486695935575e+01 4.031147331819763480e+00
1.181830982962833509e+01 7.788641956783156628e-01 -2.328618926489356866e+01 1.338329505544715747e+00
1.254617681404886298e+01 6.335226226954953077e-01 7.536888591317432429e+01 7.961331272487744970e-01
1.260565186237776913e+01 1.164623556014149131e+00 7.409794690678340601e+01 1.166887844740074565e+00
1.263328798244129736e+01 5.437112906370155097e-01 6.940028128967756516e+01 6.959243569003039642e-01
1.269436640001181615e+01 4.483927892273198434e-01 6.680267095068973049e+01 1.116941203099717228e+00
1.287730240161329043e+01 1.018456764160657002e+00 3.635479734333380719e+01 4.942680209715539341e+00
1.299693203109639938e+01 1.552533584620203522e+00 1.427665603733089128e+01 3.634248204495253987e+00
1.323833029453790111e+01 4.857833144126708635e-01 -3.758094192014590362e+01 3.413329851927419778e+00
1.328627080654775128e+01 8.412447839401526739e-02 -4.190851752759910909e+01 2.025189688280505163e+00
1.329701713184064360e+01 2.707777754702547779e-01 -4.143512021672981405e+01 2.882667213756315849e+00
1.336805923580943301e+01 9.643488222027961632e-01 -4.607735922110570215e+01 1.582090004043297471e+00
1.339627989365020611e+01 3.934285392141186888e-01 -5.442555402469345438e+01 1.027536651365533693e+01
1.364991007949950941e+01 2.263892297105486728e-02 -4.721370893599679874e+01 3.354708552625494944e-01
1.366097906484909252e+01 4.886687880308719922e-01 -5.008373358952017895e+01 1.435416091672883532e+00
1.392640750155472062e+01 3.173830372333092953e-01 -5.543437793514135237e+00 3.667637901786889199e+00
1.394736058118727762e+01 8.807803561504962131e-02 3.667600543572111960e+00 5.061313352889184713e+00
1.399414267621499164e+01 3.308851774197943407e-02 -2.527830571452103214e-01 6.122358938005376672e+00
1.400530204004498280e+01 5.874479041849909322e-01 5.684005503227238520e+00 4.343986566154592666e+00
1.410330757252670253e+01 1.908687198733260981e-02 2.607557032973684130e+01 2.534019082603565787e-01
1.433780378317991122e+01 3.319374500447755394e-02 6.191370383529688581e+01 1.771475642488572477e+00
1.438925911901873533e+01 2.160849448131279826e-01 7.524465592474696507e+01 3.557102927608088994e-01
1.444718701192900667e+01 1.776636094095080110e-01 8.599111291624464570e+01 3.727676387148564530e+00
1.489524311815634228e+01 3.357692612725695080e-01 3.364589964053276105e+01 4.600922820099816235e+00
1.516175480170747747e+01 6.063579089099142561e-01 -2.489787783563609480e+01 3.797063361504737777e+00
1.517039059670420187e+01 1.777146638342330109e-01 -2.224578476945861283e+01 6.982415371100849644e-01
1.522279403980705936e+01 2.758782041996017398e-01 -3.139135047884641594e+01 3.164580723323560107e+00
1.529997714832051159e+01 1.265776737889336978e-01 -5.123216904321152754e+01 2.842139604148997467e+00
1.547912097111926677e+01 1.000421965457070905e-01 -5.946123800870039844e+01 1.039867937430522415e+00
1.556766994147523775e+01 2.607790167714236773e-01 -6.462537514454628251e+01 7.140636297075237948e+00
1.557501807931589255e+01 2.582471308366540153e-01 -6.890935388596253119e+01 2.399012799220244518e-01
1.561458062043935868e+01 5.135670079325527215e-02 -6.504112887814004296e+01 1.410179060371905324e+00
1.565470454500572473e+01 1.146584154465297489e+00 -6.561209859242732989e+01 4.398473932438768941e+00
1.567796418212827092e+01 8.866774512376212058e-01 -5.989466999514711176e+01 1.049216964187215106e+00
1.572128610553907535e+01 2.929232762782504329e-01 -5.115443754725524172e+01 7.174112426288946409e+00
1.573848755004276789e+01 2.815286048473837344e-01 -4.260170185167165613e+01 6.780930500060853738e+00
1.609528714993603771e+01 4.562057359917089938e-01 4.333654594765575041e+01 6.339749925297158306e+00
1.628040769332069360e+01 6.955714765444325209e-01 6.687684756897883176e+01 1.162586671514823644e+00
1.645523226541659767e+01 2.313746125735692549e-01 9.442792091749608119e+01 1.917271689195365836e+00
1.655262343985164009e+01 3.400717016958054173e-01 8.743196475186967120e+01 1.194960982899937463e+01
1.664519602790402075e+01 7.722929934870963464e-01 8.809014786969375166e+01 5.681738301326664242e+00
1.665356392115674922e+01 5.637192407790904136e-01 8.410884100417457887e+01 1.368894600760648839e+00
1.706806146536332136e+01 3.272101691071814811e-01 -1.626338524570833499e+01 5.260665107134296470e+00
1.713228568184750955e+01 4.552153422072390265e-01 -1.894240639418720207e+01 3.671982413153294100e+00
1.717195839822764825e+01 1.357624037249744731e-01 -3.618505180012935796e+01 1.008648265373996900e+01
1.786242242644395262e+01 2.318586021782597928e-01 -2.908065193627138711e+01 5.783073597146509925e+00
1.805204793087683157e+01 1.262333991781218190e-01 2.034431765149638949e+01 4.087317020425963676e+00
1.817161381415214194e+01 4.608559290177749457e-02 5.437500460960851711e+01 1.277241841549651813e+00
1.850240236753594303e+01 4.825586596701957748e-02 1.056488292589912135e+02 8.155580742498104385e+00
1.853529977697203535e+01 2.598868910344268035e-02 1.021609811480074796e+02 6.011871562699516502e+00
1.875652909949965874e+01 1.762812560512342919e-01 7.758357550922562496e+01 1.345180611534710025e+00
1.917118426482890570e+01 8.357459864965784968e-01 -3.629165248598551585e+01 9.206494254065543004e+00
1.923795329099029061e+01 1.183329220465648701e+00 -4.779089785384006461e+01 8.158795740896335857e+00
1.935019464868420158e+01 1.842513225484211647e-02 -7.694652285810589376e+01 6.305346034229160068e+00
1.938352754695447899e+01 1.882562106862235018e-01 -8.688587330511974471e+01 2.018033032304191288e+00
1.941396048789806628e+01 2.479969948435497562e-01 -7.720913825487102145e+01 2.502942064277055234e+00
1.951244703273511760e+01 8.595729066064491941e-02 -8.814509509072838966e+01 4.163006438768222850e+00
